epoch,accuracy,loss,val_accuracy,val_loss
0,0.482561320066452,1.3459484577178955,NA,NA
1,0.6773841977119446,0.9685690999031067,NA,NA
2,0.741416871547699,0.8009370565414429,NA,NA
3,0.7634877562522888,0.7113328576087952,NA,NA
4,0.7730244994163513,0.6571277379989624,NA,NA
5,0.7959128022193909,0.6089387536048889,NA,NA
6,0.800000011920929,0.5860567688941956,NA,NA
7,0.8081743717193604,0.5536405444145203,NA,NA
8,0.8190735578536987,0.5271544456481934,NA,NA
9,0.8283378481864929,0.5096500515937805,NA,NA
10,0.8307901620864868,0.4946240186691284,NA,NA
11,0.8411444425582886,0.4734741449356079,NA,NA
12,0.8438692092895508,0.46292582154273987,NA,NA
13,0.8386920690536499,0.4639246165752411,NA,NA
14,0.8457765579223633,0.447003036737442,NA,NA
15,0.8485013842582703,0.434635192155838,NA,NA
16,0.8544959425926208,0.428211510181427,NA,NA
17,0.8643051981925964,0.4104028642177582,NA,NA
18,0.8694822788238525,0.41047123074531555,NA,NA
19,0.8659400343894958,0.3996685743331909,NA,NA
20,0.8708446621894836,0.3869572579860687,NA,NA
21,0.8689373135566711,0.38803383708000183,NA,NA
22,0.8653950691223145,0.39202621579170227,NA,NA
23,0.8662125468254089,0.37965279817581177,NA,NA
24,0.881743848323822,0.3712309002876282,NA,NA
25,0.8722071051597595,0.3675590753555298,NA,NA
26,0.8798364996910095,0.35370466113090515,NA,NA
27,0.8784741163253784,0.3620745539665222,NA,NA
28,0.8915531039237976,0.34215497970581055,NA,NA
29,0.8776566982269287,0.3395049273967743,NA,NA
